TRBSVU_INSTANCE_TSV_V1
SEEDS	5917685194815231660	-500297726155815697	-3271789521897289507	-4911819713871799928	-1297421185478435554
DIMENSIONS	12	20	2	9
LANE	0	L1	76.41737049549033
LANE	1	L2	45.338499869543796
LANE	2	L3	44.33643502003302
LANE	3	L4	183.79039153221768
LANE	4	L5	135.9427246111135
LANE	5	L6	158.6052691376632
LANE	6	L7	130.52098307046217
LANE	7	L8	156.55758048194005
LANE	8	L9	118.30605097663441
LANE	9	L10	75.73365395260882
LANE	10	L11	138.61590907562447
LANE	11	L12	100.18982519457978
LANE	12	L13	254.1835533760715
LANE	13	L14	87.83304973154456
LANE	14	L15	57.66673962465703
LANE	15	L16	146.66673539212738
LANE	16	L17	141.48873944452973
LANE	17	L18	148.31254684059124
LANE	18	L19	127.70929801299613
LANE	19	L20	134.37551569112875
CARRIER	0	C1	128.94839709616534	22.74590055337451
PAIR	0	0	true	34.964860313663124	35.30845692219947
PAIR	0	1	true	7.733743384406227	22.74590055337451
PAIR	0	2	false	0.0	0.0
PAIR	0	3	true	5.082363531749386	127.81194383701099
PAIR	0	4	true	67.83674180964934	89.19147323333493
PAIR	0	5	true	54.84462731138441	85.94706340206692
PAIR	0	6	false	0.0	0.0
PAIR	0	7	false	0.0	0.0
PAIR	0	8	false	0.0	0.0
PAIR	0	9	false	0.0	0.0
PAIR	0	10	true	29.50691621472119	150.58803046469208
PAIR	0	11	true	7.463203878120057	23.828151950561022
PAIR	0	12	true	17.42423186604748	106.3895035935879
PAIR	0	13	false	0.0	0.0
PAIR	0	14	true	8.020760655617302	46.75134599971345
PAIR	0	15	true	29.1367623921259	81.27373119155783
PAIR	0	16	true	38.61220516221083	57.172268929067506
PAIR	0	17	true	8.353204702684327	73.96908773199065
PAIR	0	18	true	37.09474281264949	59.71232987201055
PAIR	0	19	false	0.0	0.0
CARRIER	1	C2	95.7139393284534	10.58337749700722
PAIR	1	0	false	0.0	0.0
PAIR	1	1	true	8.544506294241211	10.58337749700722
PAIR	1	2	true	18.30580994194294	46.88648357756834
PAIR	1	3	true	5.002326842056699	127.92912611390551
PAIR	1	4	true	47.92586867735174	31.66094713552932
PAIR	1	5	true	61.02667196385422	40.16722462190355
PAIR	1	6	true	5.12527231031094	133.10517001424566
PAIR	1	7	true	88.16162897025102	43.696927863009165
PAIR	1	8	true	66.75578051894507	60.682035466537734
PAIR	1	9	true	4.988001448270714	41.20585024707619
PAIR	1	10	false	0.0	0.0
PAIR	1	11	false	0.0	0.0
PAIR	1	12	false	0.0	0.0
PAIR	1	13	false	0.0	0.0
PAIR	1	14	true	8.479519974501741	14.962901412700665
PAIR	1	15	false	0.0	0.0
PAIR	1	16	true	32.012044596908616	60.367191209992924
PAIR	1	17	false	0.0	0.0
PAIR	1	18	false	0.0	0.0
PAIR	1	19	false	0.0	0.0
CARRIER	2	C3	207.03527417020732	17.562875346624807
PAIR	2	0	true	27.138430165346183	66.07709563779791
PAIR	2	1	false	0.0	0.0
PAIR	2	2	true	19.078802880970617	17.562875346624807
PAIR	2	3	false	0.0	0.0
PAIR	2	4	true	54.514446881811025	28.88764139394097
PAIR	2	5	true	54.281843440433825	42.38251876611698
PAIR	2	6	true	4.163316419906832	41.084089037273046
PAIR	2	7	false	0.0	0.0
PAIR	2	8	true	85.54411639571421	51.954903272000074
PAIR	2	9	true	5.903358050335346	41.477569476104925
PAIR	2	10	true	25.803876230408875	78.66491217597564
PAIR	2	11	false	0.0	0.0
PAIR	2	12	true	20.795573465854336	166.35079632763464
PAIR	2	13	true	118.40476566936708	20.898220067690776
PAIR	2	14	false	0.0	0.0
PAIR	2	15	true	32.744846108097704	39.27279528140684
PAIR	2	16	true	24.902961802190145	32.85056205098266
PAIR	2	17	true	8.871399463893862	38.670230734455544
PAIR	2	18	true	34.128909260815114	68.09504470134752
PAIR	2	19	true	76.99048119246372	39.129935844349156
CARRIER	3	C4	163.19376409487091	14.430683035260115
PAIR	3	0	true	34.61161132058906	33.87363028529951
PAIR	3	1	false	0.0	0.0
PAIR	3	2	true	21.372901486448335	14.430683035260115
PAIR	3	3	true	5.340533676524508	45.419795130213686
PAIR	3	4	true	68.148277059645	55.623917415990896
PAIR	3	5	true	51.684085124982516	94.80536232367353
PAIR	3	6	true	4.087258179503094	148.40528355484923
PAIR	3	7	true	58.948461530452654	169.664631393424
PAIR	3	8	true	63.32159885195659	31.4428533080726
PAIR	3	9	true	4.372658441712879	17.639089107806832
PAIR	3	10	false	0.0	0.0
PAIR	3	11	true	6.0075522631347615	44.47305349954098
PAIR	3	12	false	0.0	0.0
PAIR	3	13	false	0.0	0.0
PAIR	3	14	true	8.191727812371953	47.97124073621188
PAIR	3	15	false	0.0	0.0
PAIR	3	16	true	32.86786324323294	89.90761329022905
PAIR	3	17	false	0.0	0.0
PAIR	3	18	true	29.12281052806353	39.005223178455516
PAIR	3	19	false	0.0	0.0
CARRIER	4	C5	145.7369188917173	14.833536938013665
PAIR	4	0	true	30.84420839175154	21.28309584267387
PAIR	4	1	true	7.677108195068789	32.16436344783175
PAIR	4	2	false	0.0	0.0
PAIR	4	3	true	4.553678905073026	41.57518137121837
PAIR	4	4	false	0.0	0.0
PAIR	4	5	false	0.0	0.0
PAIR	4	6	true	3.8580880155924984	83.2423634075358
PAIR	4	7	true	92.87678284627984	125.03943769663539
PAIR	4	8	true	89.58703166935163	95.10224922744452
