TRBSVU_INSTANCE_TSV_V1
SEEDS	1279927589439848985	7304857675416117413	8923924647780704467	-2561500339564449321	-8680971969535568173
DIMENSIONS	12	20	2	9
LANE	0	L1	74.39598708756002
LANE	1	L2	174.93881881221398
LANE	2	L3	157.83251217275222
LANE	3	L4	82.61126852607315
LANE	4	L5	53.29653675728071
LANE	5	L6	97.22785674541639
LANE	6	L7	69.44977753223311
LANE	7	L8	166.31554541663286
LANE	8	L9	61.0796090826853
LANE	9	L10	176.67906602800818
LANE	10	L11	156.0828334585548
LANE	11	L12	83.67592327066606
LANE	12	L13	47.85568772291921
LANE	13	L14	92.78266450880115
LANE	14	L15	147.47154442115456
LANE	15	L16	164.36557941427273
LANE	16	L17	87.2863885029482
LANE	17	L18	214.6258002503396
LANE	18	L19	99.57942659093766
LANE	19	L20	196.71085157378903
CARRIER	0	C1	157.12897181021123	9.121446752760326
PAIR	0	0	true	40.08740846734791	49.06933028109198
PAIR	0	1	false	0.0	0.0
PAIR	0	2	true	67.51241396300412	35.182772271039795
PAIR	0	3	false	0.0	0.0
PAIR	0	4	false	0.0	0.0
PAIR	0	5	false	0.0	0.0
PAIR	0	6	true	78.72774000971943	28.670123327483843
PAIR	0	7	true	65.2424592896202	87.04563404918434
PAIR	0	8	true	19.453640941619497	40.695658022317744
PAIR	0	9	true	78.68372230164756	42.158582537913574
PAIR	0	10	true	33.2629198149574	34.567264207558445
PAIR	0	11	false	0.0	0.0
PAIR	0	12	true	5.355983333177257	9.121446752760326
PAIR	0	13	false	0.0	0.0
PAIR	0	14	true	42.379859636390805	38.70910700715954
PAIR	0	15	true	73.2803901165091	45.848232555934906
PAIR	0	16	false	0.0	0.0
PAIR	0	17	true	3.975721857660389	138.22869958454348
PAIR	0	18	false	0.0	0.0
PAIR	0	19	false	0.0	0.0
CARRIER	1	C2	111.75116679910778	19.819179366690953
PAIR	1	0	false	0.0	0.0
PAIR	1	1	false	0.0	0.0
PAIR	1	2	true	84.45560974612094	32.3634704814831
PAIR	1	3	false	0.0	0.0
PAIR	1	4	true	10.882885489700431	42.81326207790407
PAIR	1	5	false	0.0	0.0
PAIR	1	6	false	0.0	0.0
PAIR	1	7	false	0.0	0.0
PAIR	1	8	true	26.582091393428048	37.64871481755245
PAIR	1	9	true	63.00357260459163	52.33766809986818
PAIR	1	10	true	26.581990879998273	121.74769345026704
PAIR	1	11	true	31.104113642744807	19.819179366690953
PAIR	1	12	false	0.0	0.0
PAIR	1	13	true	9.048653572751983	40.589991177892415
PAIR	1	14	false	0.0	0.0
PAIR	1	15	false	0.0	0.0
PAIR	1	16	false	0.0	0.0
PAIR	1	17	true	5.150257114410181	141.0353060356079
PAIR	1	18	true	43.00798907516338	74.56684108060551
PAIR	1	19	true	4.734044249543922	42.34424777525938
